"1340","2010-2011",6,1,0,3,0
"4020","2010-2011",46,9,0,9,1
"6470","2010-2011",15,0,0,10,1
"6540","2010-2011",1,1,0,3,0
"7390","2010-2011",13,1,0,3,0
"7510","2010-2011",10,2,0,1,0
"6100","2010-2011",13,2,0,0,0
"7110","2010-2011",20,5,0,5,1
"7130","2010-2011",12,0,0,0,0
"5020","2010-2011",50,11,0,20,3
"2140","2010-2011",0,1,0,2,0
"1440","2010-2011",17,0,0,4,0
"4270","2010-2011",6,0,0,1,0
"5430","2009-2010",5,0,0,1,2
"5440","2009-2010",4,0,0,2,0
"5470","2009-2010",5,0,0,1,0
"8420","2009-2010",2,1,0,1,0
"8440","2009-2010",2,0,0,1,0
"1230","2009-2010",14,0,0,2,0
"6070","2009-2010",5,0,0,0,0
"7120","2009-2010",61,17,0,16,3
"7730","2009-2010",42,2,0,8,0
"5510","2009-2010",16,2,0,2,0
"8310","2008-2009",7,0,2,4,0
"8340","2008-2009",8,0,0,2,0
"8390","2008-2009",1,0,0,3,2
"5060","2009-2010",6,3,1,1,2
"6270","2009-2010",1,0,0,0,1
"4320","2009-2010",17,0,0,2,0
"5290","2010-2011",3,0,0,0,0
"7260","2009-2010",3,0,0,2,0
"5230","2010-2011",5,1,0,5,0
"8440","2008-2009",1,0,0,3,0
"2520","2009-2010",0,0,0,2,0
"8010","2010-2011",78,6,0,13,4
"2590","2009-2010",8,0,0,0,0
"5320","2010-2011",4,0,0,1,1
"8300","2010-2011",2,0,0,3,0
"7290","2009-2010",6,2,1,2,0
"7320","2009-2010",5,0,0,2,0
"7350","2009-2010",12,0,0,0,0
"5260","2009-2010",3,0,0,2,0
"6330","2009-2010",20,0,1,4,0
"8180","2010-2011",4,0,0,1,0
